order,projection_err,intrusive_state_err,intrusive_output_err,inferred_state_err,inferred_output_err
1,0.053951834572477896,0.11400966096979595,0.10790396426384861,0.11370449769109496,0.10756814458252409
2,0.00952334594440057,0.014577198982558211,0.00398569681000153,0.014536113993547633,0.003963344451371061
3,0.002405000936126284,0.003350366784985063,0.0004424439245728112,0.003344116513389179,0.00044086030659975665
4,0.0007074212888593116,0.0009412025090338528,5.330313618639398e-5,0.0009402254773340685,5.3383211501325365e-5
5,0.00023436196863417093,0.0003030139217119076,8.569589865354265e-6,0.0003028710550126659,8.613267326271705e-6
6,8.287198380640402e-5,0.00010509077458175033,1.2970649215903876e-6,0.0001050710782086088,1.3036150213760742e-6
7,2.9633246346701975e-5,3.703267417835539e-5,1.9114972673369295e-7,3.702952342756165e-5,1.9187613218903445e-7
8,1.036009164961297e-5,1.2789832569699163e-5,2.5360216742027377e-8,1.2788845813525921e-5,2.542476911198874e-8
9,3.480891893346163e-6,4.250639716286138e-6,3.0788908351075707e-9,4.24999413910392e-6,3.0829898126329363e-9
10,1.114662136051803e-6,1.3474364910553239e-6,3.352397847379932e-10,1.3469010415024642e-6,3.350925901649357e-10
11,3.3876578614712086e-7,4.056010015774855e-7,3.28507799857514e-11,4.0514206222990507e-7,3.370398796507169e-11
12,9.747962672334097e-8,1.1564635801648553e-7,2.887715716410906e-12,1.1525337441609808e-7,4.493787362333086e-12
13,2.65131016784965e-8,3.1178659272202135e-8,2.3814675120292916e-13,3.0844098417324755e-8,1.9571019199939358e-12
14,6.806876001084947e-9,7.937263310490741e-9,2.9196636584019525e-14,7.656851137817398e-9,1.7901667112523581e-12
15,1.6475985591834253e-9,1.905640595336741e-9,1.4867333825332253e-14,1.7098801792673401e-9,1.7794675654112788e-12
